Run: 0
The hyp is : 0
true best: 0, found best: 0, queries: 200 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.001289, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.001241, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.001197, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.001155, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 103 
alpha_j: 0.001116, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.001080, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.001046, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.001014, p_j: 1.000000, rej: 0 
Run: 4
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.000697, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 107 
alpha_j: 0.000152, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 5, found best: 5, queries: 200 
alpha_j: 0.000129, p_j: 0.001347, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.000107, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.000091, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 7, found best: 7, queries: 200 
alpha_j: 0.000079, p_j: 0.000000, rej: 1 
The hyp is : 1
true best: 1, found best: 1, queries: 200 
alpha_j: 0.014463, p_j: 0.589242, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 65 
alpha_j: 0.003145, p_j: 0.001010, rej: 1 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.025949, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 1, found best: 1, queries: 200 
alpha_j: 0.005643, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.004806, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 5, found best: 5, queries: 81 
alpha_j: 0.003997, p_j: 0.000942, rej: 1 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.034259, p_j: 0.025598, rej: 1 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.043424, p_j: 0.000000, rej: 1 
The hyp is : 1
true best: 5, found best: 5, queries: 119 
alpha_j: 0.051311, p_j: 0.002394, rej: 1 
The hyp is : 1
true best: 2, found best: 2, queries: 59 
alpha_j: 0.058099, p_j: 0.057087, rej: 1 
The hyp is : 1
true best: 5, found best: 5, queries: 200 
alpha_j: 0.063940, p_j: 0.014006, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.068967, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 193 
alpha_j: 0.014998, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 5, found best: 5, queries: 200 
alpha_j: 0.012774, p_j: 0.699630, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.010624, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 4, found best: 4, queries: 200 
alpha_j: 0.009007, p_j: 0.004107, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 179 
alpha_j: 0.066685, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 7, found best: 7, queries: 141 
alpha_j: 0.014502, p_j: 0.000000, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 31 
alpha_j: 0.069308, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 1, found best: 1, queries: 109 
alpha_j: 0.015072, p_j: 0.008704, rej: 1 
The hyp is : 1
true best: 7, found best: 7, queries: 200 
alpha_j: 0.071485, p_j: 0.000046, rej: 1 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.075461, p_j: 0.463341, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.016410, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.013977, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 1, found best: 1, queries: 200 
alpha_j: 0.011624, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 171 
alpha_j: 0.009855, p_j: 0.005333, rej: 1 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.071651, p_j: 0.045463, rej: 1 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.075603, p_j: 0.005267, rej: 1 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.079004, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.017181, p_j: 0.005040, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 65 
alpha_j: 0.079536, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.017297, p_j: 0.614123, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.014732, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 139 
alpha_j: 0.012252, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 5, found best: 5, queries: 200 
alpha_j: 0.010387, p_j: 0.000907, rej: 1 
The hyp is : 1
true best: 5, found best: 5, queries: 87 
alpha_j: 0.074768, p_j: 0.001834, rej: 1 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.078286, p_j: 0.001666, rej: 1 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.081313, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 33 
alpha_j: 0.017683, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 2, found best: 2, queries: 85 
alpha_j: 0.015061, p_j: 0.006161, rej: 1 
The hyp is : 1
true best: 7, found best: 7, queries: 200 
alpha_j: 0.079353, p_j: 0.000021, rej: 1 
The hyp is : 1
true best: 1, found best: 1, queries: 200 
alpha_j: 0.082231, p_j: 0.155818, rej: 0 
The hyp is : 1
true best: 8, found best: 8, queries: 200 
alpha_j: 0.017883, p_j: 0.000000, rej: 1 
The hyp is : 1
true best: 2, found best: 2, queries: 159 
alpha_j: 0.082216, p_j: 0.079898, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.084695, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 163 
alpha_j: 0.018418, p_j: 0.001888, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.084261, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 1, found best: 1, queries: 155 
alpha_j: 0.018324, p_j: 0.016104, rej: 1 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.083900, p_j: 0.106144, rej: 0 
The hyp is : 1
true best: 5, found best: 5, queries: 200 
alpha_j: 0.018246, p_j: 0.188203, rej: 0 
The hyp is : 1
true best: 6, found best: 6, queries: 47 
alpha_j: 0.015540, p_j: 0.000002, rej: 1 
The hyp is : 1
true best: 1, found best: 1, queries: 200 
alpha_j: 0.081435, p_j: 0.598508, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.017710, p_j: 0.036595, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 197 
alpha_j: 0.015084, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 1, found best: 1, queries: 200 
alpha_j: 0.012544, p_j: 0.132451, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.010635, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 5, found best: 1, queries: 200 
alpha_j: 0.009200, p_j: 0.545246, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 95 
alpha_j: 0.008094, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.007221, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.006514, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.005932, p_j: 0.006992, rej: 0 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.005444, p_j: 0.065549, rej: 0 
The hyp is : 1
true best: 1, found best: 1, queries: 200 
alpha_j: 0.005029, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.004673, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 1, found best: 1, queries: 200 
alpha_j: 0.004363, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 1, queries: 200 
alpha_j: 0.004091, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 8, found best: 8, queries: 200 
alpha_j: 0.003851, p_j: 0.023556, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 179 
alpha_j: 0.003638, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 1, found best: 1, queries: 200 
alpha_j: 0.003446, p_j: 0.068249, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 77 
alpha_j: 0.003273, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.003117, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 119 
alpha_j: 0.002975, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.002845, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.002726, p_j: 0.000013, rej: 1 
The hyp is : 1
true best: 8, found best: 8, queries: 200 
alpha_j: 0.064170, p_j: 0.000000, rej: 1 
The hyp is : 1
true best: 6, found best: 1, queries: 200 
alpha_j: 0.069165, p_j: 0.000001, rej: 1 
The hyp is : 1
true best: 7, found best: 7, queries: 187 
alpha_j: 0.073464, p_j: 0.028186, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.077163, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.016781, p_j: 0.013701, rej: 1 
The hyp is : 1
true best: 7, found best: 7, queries: 35 
alpha_j: 0.078008, p_j: 0.000000, rej: 1 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.081074, p_j: 0.035036, rej: 1 
The hyp is : 1
true best: 8, found best: 8, queries: 200 
alpha_j: 0.083712, p_j: 0.000000, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.085983, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 8, found best: 8, queries: 200 
alpha_j: 0.018699, p_j: 0.000000, rej: 1 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.085330, p_j: 0.054461, rej: 1 
The hyp is : 1
true best: 2, found best: 2, queries: 69 
alpha_j: 0.087375, p_j: 0.060601, rej: 1 
The hyp is : 1
true best: 3, found best: 3, queries: 75 
alpha_j: 0.089135, p_j: 0.032626, rej: 1 
The hyp is : 1
true best: 6, found best: 6, queries: 63 
alpha_j: 0.090650, p_j: 0.003826, rej: 1 
The hyp is : 1
true best: 2, found best: 2, queries: 119 
alpha_j: 0.091953, p_j: 0.041718, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.093075, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.020241, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.017240, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.014337, p_j: 0.355583, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 183 
alpha_j: 0.012155, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 1, found best: 1, queries: 200 
alpha_j: 0.010515, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.009251, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.008253, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.007445, p_j: 0.882562, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.006780, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.006222, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.005748, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 103 
alpha_j: 0.005341, p_j: 0.001518, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.076820, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.016706, p_j: 0.002754, rej: 1 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.077722, p_j: 0.000000, rej: 1 
The hyp is : 1
true best: 4, found best: 4, queries: 85 
alpha_j: 0.080828, p_j: 0.059455, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.083501, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 87 
alpha_j: 0.018159, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 4, found best: 4, queries: 187 
alpha_j: 0.015466, p_j: 0.006439, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.081113, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.017640, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 1, found best: 1, queries: 57 
alpha_j: 0.015024, p_j: 0.001918, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.079193, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.017222, p_j: 0.045721, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.014668, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.012199, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.010342, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 6, found best: 6, queries: 181 
alpha_j: 0.008947, p_j: 0.000096, rej: 1 
The hyp is : 1
true best: 1, found best: 1, queries: 200 
alpha_j: 0.073258, p_j: 0.882323, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.015931, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.013569, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 75 
alpha_j: 0.011284, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.009567, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 173 
alpha_j: 0.008276, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 1, found best: 1, queries: 185 
alpha_j: 0.007282, p_j: 0.005423, rej: 1 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.067798, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 197 
alpha_j: 0.014744, p_j: 0.011891, rej: 1 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.070232, p_j: 0.056502, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.074382, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.016176, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.013777, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 2, found best: 2, queries: 133 
alpha_j: 0.011458, p_j: 0.010836, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.072180, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.015697, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.013369, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.011118, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 161 
alpha_j: 0.009426, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.008154, p_j: 0.001114, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.068005, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 4, found best: 4, queries: 200 
alpha_j: 0.014789, p_j: 0.592520, rej: 0 
The hyp is : 1
true best: 8, found best: 8, queries: 200 
alpha_j: 0.012596, p_j: 0.000774, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.068648, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 8, found best: 8, queries: 200 
alpha_j: 0.014929, p_j: 0.000001, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.070938, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 4, found best: 4, queries: 200 
alpha_j: 0.015427, p_j: 0.035646, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.013139, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 8, found best: 8, queries: 85 
alpha_j: 0.010927, p_j: 0.000000, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 69 
alpha_j: 0.069483, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 103 
alpha_j: 0.015110, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 7, found best: 7, queries: 200 
alpha_j: 0.012870, p_j: 0.000000, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.069837, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.015187, p_j: 0.071424, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 133 
alpha_j: 0.012935, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.010758, p_j: 0.631146, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.009120, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.007890, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 4, found best: 4, queries: 200 
alpha_j: 0.006942, p_j: 0.074653, rej: 0 
The hyp is : 0
true best: 0, found best: 1, queries: 200 
alpha_j: 0.006192, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 5, found best: 5, queries: 200 
alpha_j: 0.005586, p_j: 0.032005, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.005087, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.004669, p_j: 0.000140, rej: 1 
The hyp is : 1
true best: 4, found best: 4, queries: 200 
alpha_j: 0.062281, p_j: 0.070384, rej: 0 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.013544, p_j: 0.166892, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 185 
alpha_j: 0.011536, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.009594, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 119 
alpha_j: 0.008133, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 5, found best: 5, queries: 200 
alpha_j: 0.007036, p_j: 0.001004, rej: 1 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.060590, p_j: 0.079020, rej: 0 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.013177, p_j: 0.000159, rej: 1 
The hyp is : 1
true best: 8, found best: 8, queries: 147 
alpha_j: 0.064248, p_j: 0.000000, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.069232, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.015056, p_j: 0.000000, rej: 1 
The hyp is : 1
true best: 8, found best: 8, queries: 57 
alpha_j: 0.071422, p_j: 0.000000, rej: 1 
The hyp is : 1
true best: 4, found best: 4, queries: 200 
alpha_j: 0.075406, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.016398, p_j: 0.091800, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.013967, p_j: 0.520409, rej: 0 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.011615, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 4, found best: 4, queries: 200 
alpha_j: 0.009847, p_j: 0.118193, rej: 0 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.008519, p_j: 0.000000, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.070422, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.015315, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 123 
alpha_j: 0.013044, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.010848, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.009197, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 1, found best: 1, queries: 200 
alpha_j: 0.007956, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.007000, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 8, found best: 8, queries: 200 
alpha_j: 0.006244, p_j: 0.000001, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.064842, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.014101, p_j: 0.389112, rej: 0 
The hyp is : 1
true best: 4, found best: 4, queries: 200 
alpha_j: 0.012010, p_j: 0.000000, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.066103, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.014375, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.012244, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.010182, p_j: 0.668486, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.008633, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.007468, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 7, found best: 7, queries: 200 
alpha_j: 0.006571, p_j: 0.000000, rej: 1 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.062538, p_j: 0.000019, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.067760, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 105 
alpha_j: 0.014736, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.012551, p_j: 0.119941, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.010438, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.008849, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 4, found best: 4, queries: 200 
alpha_j: 0.007655, p_j: 0.495572, rej: 0 
The hyp is : 1
true best: 7, found best: 7, queries: 200 
alpha_j: 0.006735, p_j: 0.005361, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 93 
alpha_j: 0.063756, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.013865, p_j: 0.992739, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.011809, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.009821, p_j: 0.010619, rej: 0 
The hyp is : 1
true best: 7, found best: 7, queries: 175 
alpha_j: 0.008326, p_j: 0.000001, rej: 1 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.062700, p_j: 0.736848, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.013635, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 7, found best: 7, queries: 200 
alpha_j: 0.011613, p_j: 0.000000, rej: 1 
The hyp is : 1
true best: 5, found best: 5, queries: 73 
alpha_j: 0.064380, p_j: 0.000222, rej: 1 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.069346, p_j: 0.293427, rej: 0 
The hyp is : 1
true best: 4, found best: 4, queries: 145 
alpha_j: 0.015080, p_j: 0.000591, rej: 1 
The hyp is : 1
true best: 1, found best: 1, queries: 93 
alpha_j: 0.071517, p_j: 0.064455, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 95 
alpha_j: 0.075488, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 6, found best: 6, queries: 77 
alpha_j: 0.016416, p_j: 0.000013, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.076616, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.016662, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 161 
alpha_j: 0.014191, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 1, queries: 200 
alpha_j: 0.011802, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 1, found best: 1, queries: 200 
alpha_j: 0.010005, p_j: 0.833934, rej: 0 
The hyp is : 1
true best: 8, found best: 8, queries: 99 
alpha_j: 0.008656, p_j: 0.000000, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.071328, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.015512, p_j: 0.000003, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 131 
alpha_j: 0.073163, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.015911, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.013551, p_j: 0.036277, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
